condition,n,tick_cap,route_policy,mean_brier,mean_log_score,mean_unresolved_mass,llm_calls_captured,total_tokens_captured,actual_openrouter_usd_captured,estimated_usd_captured,unknown_usd_calls,model_call_breakdown,wall_time_evidence,status,notes
direct_llm,24,n/a,openai-codex/gpt-5.4,0.242492,0.701698,0.000000,24,50433,,,,openai-codex/gpt-5.4,sum_latency_s=155.53,complete,Codex direct baseline did not expose billable USD; token and latency metadata captured.
structured_direct_llm,24,n/a,openai-codex/gpt-5.4,0.238363,0.677498,0.000000,24,55329,,,,openai-codex/gpt-5.4,sum_latency_s=241.13,complete,Codex direct baseline did not expose billable USD; token and latency metadata captured.
worldfork_no_branch_16tick,24,16,icml_default_deepseek_v4_flash_cohort_hero,0.425347,1.686438,0.923611,4129,188195859,18.565104,18.565104,0,openai-codex/gpt-5.4:1148;openrouter/deepseek/deepseek-v4-flash:2981,max_job_wait_s=7533.43;sum_job_wait_s=98530.63,complete,OpenRouter USD reflects DeepSeek cohort/hero calls; Codex governance/report routes have token/call counts but no billable USD in artifacts.
worldfork_no_branch_35tick_resume,24,35,icml_default_deepseek_v4_flash_cohort_hero_resume35,0.425347,1.686438,0.923611,8843,411880901,41.559777,41.559777,0,openai-codex/gpt-5.4:2437;openrouter/deepseek/deepseek-v4-flash:6402;openrouter/gpt-5.4:4,23 resumed cost captures plus one carried-forward 16-tick resolved case; terminal-probe wall time captured in per-case artifacts,complete,Cumulative final-condition cost summary; includes source cost for the carried-forward row.
worldfork_branching_short_smoke,1,8,legacy_codex_smoke,1.000000,4.605170,1.000000,322,13126237,0.000000,0.000000,0,openai-codex/gpt-5.4:322,one case; init_wait_s=120.12; run_wait_s=2131.68,smoke only; pending default-route core/full branching,Codex-only smoke validates branching plumbing but is not aggregated with default-route rows.
