direct_condition,worldfork_condition,alpha,n,mean_brier,mean_log_score,mean_unresolved_mass
structured_direct_llm_deepseek_v4_flash,worldfork_branching_short,0.450000,12,0.192235,0.554958,0.000000
structured_direct_llm_deepseek_v4_flash,worldfork_branching_short,0.500000,12,0.190560,0.553376,0.000000
structured_direct_llm_deepseek_v4_flash,worldfork_branching_short,0.550000,12,0.189270,0.552664,0.000000
structured_direct_llm_deepseek_v4_flash,worldfork_branching_short,0.600000,12,0.188364,0.552827,0.000000
structured_direct_llm_deepseek_v4_flash,worldfork_branching_short,0.650000,12,0.187842,0.553884,0.000000
structured_direct_llm_deepseek_v4_flash,worldfork_branching_short,0.700000,12,0.187705,0.555867,0.000000
structured_direct_llm_deepseek_v4_flash,worldfork_branching_short,0.750000,12,0.187952,0.558823,0.000000
structured_direct_llm_deepseek_v4_flash,worldfork_branching_short,0.800000,12,0.188583,0.562822,0.000000
structured_direct_llm_deepseek_v4_flash,worldfork_branching_short,0.850000,12,0.189598,0.567956,0.000000
structured_direct_llm_deepseek_v4_flash,worldfork_branching_short,0.900000,12,0.190998,0.574358,0.000000
structured_direct_llm_deepseek_v4_flash,worldfork_branching_short,0.950000,12,0.192782,0.582209,0.000000
structured_direct_llm_deepseek_v4_flash,worldfork_branching_short,1.000000,12,0.194950,0.591768,0.000000
