condition,n,tick_cap,route_policy,mean_brier,mean_log_score,mean_unresolved_mass,status
direct_llm,24,n/a,openai-codex/gpt-5.4,0.242492,0.701698,0.000000,complete
structured_direct_llm,24,n/a,openai-codex/gpt-5.4,0.238363,0.677498,0.000000,complete
worldfork_no_branch_16tick,24,16,icml_default_deepseek_v4_flash_cohort_hero,0.425347,1.686438,0.923611,complete
worldfork_no_branch_35tick_resume,24,35,icml_default_deepseek_v4_flash_cohort_hero_resume35,0.425347,1.686438,0.923611,complete; unchanged from 16-tick path-mass forecasts
worldfork_branching_short,24,8,legacy_codex_smoke,,,,pending full default-route runs
